,age,gender,profile,tenure,TV,movies,Vouchers,calling,Total_charges,Billing,Loyalty
10489,18.0,1.0,1.0,10.0,36.0,12.0,55.0,48.0,2250.0,1.0,87.5
7931,18.0,0.0,4.0,22.0,42.0,12.0,33.0,24.0,3150.0,1.0,94.5
105988,57.0,1.0,4.0,6.0,6.0,48.0,55.0,0.0,2700.0,1.0,77.5
33612,21.0,1.0,3.0,22.0,21.0,21.0,55.0,0.0,900.0,1.0,69.5
23620,21.0,0.0,3.0,18.0,18.0,30.0,88.0,0.0,3150.0,0.0,87.5
51186,33.0,1.0,4.0,10.0,15.0,33.0,44.0,27.0,4500.0,0.0,90.5
29559,21.0,1.0,1.0,18.0,36.0,0.0,66.0,12.0,450.0,1.0,69.5
5321,18.0,0.0,3.0,2.0,0.0,33.0,0.0,6.0,6750.0,1.0,67.0
64975,39.0,1.0,1.0,26.0,39.0,21.0,33.0,36.0,450.0,0.0,82.5
89111,57.0,0.0,0.0,2.0,18.0,3.0,33.0,24.0,4950.0,0.0,74.0
30444,21.0,1.0,2.0,6.0,18.0,42.0,22.0,39.0,450.0,0.0,75.5
38802,33.0,0.0,1.0,26.0,48.0,0.0,0.0,6.0,450.0,1.0,69.5
55263,39.0,0.0,1.0,10.0,27.0,45.0,55.0,27.0,1350.0,1.0,78.5
41383,33.0,0.0,3.0,10.0,36.0,3.0,33.0,18.0,3150.0,1.0,83.5
88538,51.0,1.0,4.0,18.0,39.0,12.0,55.0,21.0,6300.0,1.0,90.5
25468,21.0,0.0,4.0,10.0,9.0,48.0,88.0,39.0,5400.0,1.0,87.5
32926,21.0,1.0,3.0,14.0,9.0,27.0,99.0,0.0,5400.0,0.0,84.5
25136,21.0,0.0,4.0,6.0,21.0,9.0,55.0,33.0,5850.0,1.0,84.5
51441,33.0,1.0,4.0,14.0,9.0,12.0,11.0,30.0,6750.0,1.0,88.5
20696,21.0,0.0,1.0,26.0,9.0,24.0,77.0,21.0,5400.0,1.0,90.5
89324,57.0,0.0,0.0,6.0,9.0,21.0,88.0,18.0,6750.0,0.0,80.5
98416,57.0,1.0,0.0,10.0,36.0,24.0,66.0,42.0,4500.0,1.0,93.5
104544,57.0,1.0,3.0,14.0,15.0,42.0,22.0,30.0,4950.0,0.0,97.5
102700,57.0,1.0,2.0,22.0,12.0,6.0,66.0,9.0,1350.0,1.0,63.5
89135,57.0,0.0,0.0,2.0,18.0,18.0,88.0,12.0,3150.0,1.0,67.0
22434,21.0,0.0,2.0,22.0,30.0,18.0,99.0,42.0,900.0,0.0,82.5
49474,33.0,1.0,3.0,10.0,48.0,21.0,33.0,24.0,3150.0,1.0,90.5
79790,51.0,0.0,4.0,26.0,30.0,42.0,77.0,18.0,0.0,0.0,81.5
74538,51.0,0.0,2.0,6.0,42.0,27.0,55.0,33.0,450.0,0.0,78.5
88191,51.0,1.0,4.0,14.0,18.0,45.0,33.0,12.0,4500.0,1.0,87.5
26081,21.0,0.0,4.0,18.0,15.0,18.0,44.0,39.0,3150.0,1.0,94.5
9970,18.0,1.0,1.0,6.0,3.0,0.0,44.0,6.0,6300.0,0.0,71.5
19089,21.0,0.0,0.0,22.0,24.0,27.0,66.0,6.0,6300.0,1.0,90.5
64787,39.0,1.0,1.0,26.0,9.0,42.0,44.0,33.0,4950.0,1.0,94.5
79006,51.0,0.0,4.0,18.0,18.0,30.0,11.0,0.0,6300.0,0.0,87.5
27786,21.0,1.0,0.0,18.0,15.0,0.0,88.0,0.0,900.0,1.0,66.5
96914,57.0,0.0,4.0,14.0,48.0,30.0,99.0,39.0,1350.0,0.0,85.5
52169,33.0,1.0,4.0,22.0,24.0,24.0,44.0,18.0,450.0,1.0,81.5
19685,21.0,0.0,1.0,6.0,6.0,39.0,11.0,48.0,3150.0,0.0,87.5
86430,51.0,1.0,3.0,18.0,21.0,42.0,77.0,6.0,5400.0,1.0,87.5
26763,21.0,1.0,0.0,2.0,36.0,0.0,11.0,3.0,450.0,1.0,52.0
81128,51.0,1.0,0.0,14.0,15.0,6.0,88.0,33.0,450.0,0.0,76.5
104569,57.0,1.0,3.0,14.0,24.0,39.0,55.0,18.0,1800.0,1.0,81.5
62506,39.0,1.0,0.0,14.0,33.0,30.0,11.0,0.0,5850.0,0.0,90.5
57554,39.0,0.0,2.0,22.0,39.0,18.0,0.0,45.0,2700.0,0.0,97.5
17191,21.0,0.0,0.0,2.0,33.0,27.0,33.0,3.0,3150.0,0.0,73.0
94796,57.0,0.0,3.0,14.0,18.0,33.0,0.0,3.0,1800.0,0.0,72.5
16215,18.0,1.0,4.0,14.0,42.0,42.0,11.0,24.0,2700.0,1.0,100.5
49303,33.0,1.0,3.0,10.0,21.0,30.0,99.0,39.0,6300.0,0.0,90.5
5505,18.0,0.0,3.0,6.0,21.0,24.0,88.0,18.0,1800.0,1.0,71.5
95549,57.0,0.0,4.0,6.0,3.0,36.0,77.0,9.0,4050.0,0.0,77.5
66414,39.0,1.0,2.0,26.0,36.0,30.0,77.0,24.0,2700.0,1.0,100.5
106410,57.0,1.0,4.0,10.0,9.0,18.0,0.0,12.0,4950.0,0.0,74.5
50944,33.0,1.0,4.0,6.0,42.0,18.0,33.0,3.0,3150.0,0.0,80.5
40700,33.0,0.0,2.0,26.0,48.0,36.0,0.0,42.0,3150.0,0.0,100.5
87608,51.0,1.0,4.0,6.0,15.0,6.0,22.0,36.0,5400.0,1.0,84.5
95271,57.0,0.0,3.0,22.0,15.0,15.0,0.0,42.0,2250.0,0.0,94.5
12326,18.0,1.0,2.0,10.0,39.0,24.0,11.0,3.0,1350.0,1.0,68.5
25577,21.0,0.0,4.0,14.0,0.0,18.0,22.0,42.0,6750.0,0.0,91.5
103439,57.0,1.0,2.0,26.0,30.0,39.0,99.0,6.0,3150.0,1.0,90.5
23784,21.0,0.0,3.0,18.0,27.0,45.0,0.0,21.0,4500.0,1.0,96.5
25567,21.0,0.0,4.0,10.0,48.0,48.0,11.0,27.0,4950.0,0.0,93.5
77309,51.0,0.0,3.0,18.0,18.0,27.0,77.0,33.0,6750.0,1.0,97.5
23455,21.0,0.0,3.0,14.0,48.0,0.0,77.0,27.0,900.0,1.0,79.5
6820,18.0,0.0,3.0,26.0,36.0,33.0,33.0,6.0,5850.0,0.0,90.5
68748,39.0,1.0,4.0,10.0,3.0,18.0,44.0,9.0,2250.0,1.0,74.5
3268,18.0,0.0,1.0,22.0,12.0,42.0,22.0,9.0,5400.0,1.0,84.5
52407,33.0,1.0,4.0,22.0,48.0,3.0,77.0,3.0,4500.0,0.0,84.5
16525,18.0,1.0,4.0,18.0,45.0,24.0,44.0,15.0,2250.0,1.0,96.5
15587,18.0,1.0,4.0,6.0,6.0,0.0,33.0,48.0,4050.0,1.0,81.5
101807,57.0,1.0,2.0,6.0,24.0,33.0,33.0,48.0,4950.0,1.0,93.5
49020,33.0,1.0,3.0,6.0,0.0,21.0,99.0,39.0,5400.0,0.0,84.5
24194,21.0,0.0,3.0,22.0,39.0,27.0,77.0,3.0,2700.0,0.0,90.5
92200,57.0,0.0,1.0,22.0,39.0,42.0,66.0,18.0,6300.0,0.0,96.5
29981,21.0,1.0,1.0,26.0,15.0,24.0,11.0,12.0,5850.0,0.0,87.5
95541,57.0,0.0,4.0,6.0,3.0,24.0,88.0,3.0,1800.0,0.0,62.5
93841,57.0,0.0,2.0,26.0,42.0,45.0,66.0,12.0,4500.0,1.0,90.5
43869,33.0,1.0,0.0,2.0,21.0,30.0,44.0,6.0,6300.0,0.0,70.0
2487,18.0,0.0,1.0,6.0,33.0,18.0,66.0,3.0,450.0,0.0,65.5
35505,21.0,1.0,4.0,26.0,30.0,3.0,99.0,0.0,2700.0,1.0,84.5
13511,18.0,1.0,3.0,2.0,12.0,3.0,22.0,33.0,2700.0,1.0,71.0
